name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2024-01-01,27.6,25,25.8,31.9,25,26.6,24.5,92.4,31.479,100,16.67,rain,0,0,27,10.2,9.3,1010.6,84.2,8,143.3,12.4,5,30,2024-01-01T07:06:24,2024-01-01T19:09:16,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-02,31.8,24.1,27.6,38,24.1,30.5,24,81.5,43.679,100,8.33,rain,0,0,27.7,18.9,359.2,1009.9,88.1,10.1,176.3,15.2,6,30,2024-01-02T07:06:52,2024-01-02T19:09:44,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-03,31,25.9,27.5,36.5,25.9,30.3,24.1,82.3,0.4,100,8.33,rain,0,0,25.9,19.9,356.8,1009.7,85.4,9.9,169.4,14.6,6,60,2024-01-03T07:07:20,2024-01-03T19:10:13,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-04,26.9,24,25.1,30,24,25.4,23.8,92.5,43.751,100,16.67,rain,0,0,32,11.9,337.3,1010.5,89.4,7.4,116.6,10.2,5,10,2024-01-04T07:07:47,2024-01-04T19:10:41,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-05,29.9,24.6,26.7,35.4,24.6,29,24.3,87.2,43.17,100,16.67,rain,0,0,38.9,22.6,7.1,1010.3,79.7,9.7,147.4,12.8,6,30,2024-01-05T07:08:14,2024-01-05T19:11:08,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-06,31.5,25.1,27.9,36.8,25.1,30.7,24.2,81.4,7.462,100,16.67,rain,0,0,32.4,16.3,4.9,1010.2,86.8,10,171.1,14.8,6,30,2024-01-06T07:08:40,2024-01-06T19:11:36,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
Singapore,2024-01-07,27,23.7,24.8,30.4,23.7,25.2,23.7,93.6,30.234,100,16.67,rain,0,0,29.2,10.7,339.7,1011.4,83,7.9,89.6,7.9,5,10,2024-01-07T07:09:06,2024-01-07T19:12:03,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-08,31.5,23.1,26.8,37.6,23.1,29.1,23.3,82.3,38.222,100,12.5,rain,0,0,27.4,18.7,25.6,1010.6,86.7,10,211.2,18.3,8,30,2024-01-08T07:09:31,2024-01-08T19:12:29,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-09,30.1,25,27,35.4,25,29.2,24.1,84.3,3.99,100,12.5,rain,0,0,23.8,14.5,1.6,1010,85.3,9.6,176.9,15.3,7,30,2024-01-09T07:09:56,2024-01-09T19:12:55,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-10,29,24.9,26.6,34,24.9,28.1,24.5,88.5,55.519,100,12.5,rain,0,0,32.4,15.5,345.9,1009.6,83.2,8.7,169,14.8,6,30,2024-01-10T07:10:20,2024-01-10T19:13:21,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-11,30,25.1,27.5,36.2,25.1,30.3,24.5,84.4,4.341,100,4.17,rain,0,0,29.5,18.4,5.2,1009.9,80.3,9.4,183.2,15.9,7,30,2024-01-11T07:10:44,2024-01-11T19:13:46,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-12,27,24,25.5,30.2,24,25.7,23.6,89.6,1.956,100,12.5,rain,0,0,32.8,14,341.4,1010.4,84.8,9.2,101.7,8.9,5,10,2024-01-12T07:11:07,2024-01-12T19:14:10,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
Singapore,2024-01-13,31.4,24.1,26.9,36.4,24.1,29.3,23.5,82.6,10.418,100,4.17,rain,0,0,25.9,14.6,354.6,1010.1,87.2,9.7,102.4,8.8,4,10,2024-01-13T07:11:29,2024-01-13T19:14:34,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
